id,source_type,raw_instruction
agent_001,agent_prompt,"Refactor this repo but don't break the showpiece; run tests and explain anything risky."
agent_002,agent_prompt,"Have the agent update the onboarding workflow, preserve the approval gate, run the policy checks, and log evidence before deploy."
agent_003,agent_prompt,"Clean up the tool routing prompt so it handles failed API calls safely and does not send external messages without review."
agent_004,agent_prompt,"Review the memory update, remove stale instructions, but keep every required safety guardrail and return a change summary receipt."
agent_005,agent_prompt,"Automate the daily support triage workflow but make sure urgent patient messages route safely and audit logs are preserved."
agent_006,agent_prompt,"Run the model evaluation batch, normalize the JSON output schema, then flag any drift before publishing results."
agent_007,agent_prompt,"Fix the agent loop that sometimes retries shell tools after failure; add approval before any production command runs."
agent_008,agent_prompt,"Update the prompt library and make sure external customer responses still require approval and recipient verification."
agent_009,agent_prompt,"Have the agent summarize incidents every morning, include evidence links, and route high-risk items for human review."
agent_010,agent_prompt,"Convert this ambiguous runbook into steps the agent can follow, but keep rollback, audit receipt, and policy version explicit."
clinical_001,clinical_data_request,"Clean the clinical note, remove PHI, preserve negation, and return strict JSON for the model."
clinical_002,clinical_data_request,"Normalize medication names in the patient note, preserve dose and negation, remove MRN, and log evidence spans."
clinical_003,clinical_data_request,"Summarize the discharge note safely, avoid diagnosis claims, preserve anticoagulant warnings, and return schema-valid JSON."
clinical_004,clinical_data_request,"Batch clean daily clinical notes, strip PHI, preserve family-history negation, then send receipts for compliance review."
clinical_005,clinical_data_request,"Review medication reconciliation text and make sure unclear dose changes are escalated before the model output is accepted."
clinical_006,clinical_data_request,"Remove patient identifiers from the encounter summary, preserve clinical meaning, and audit every redaction."
clinical_007,clinical_data_request,"Clean the ED note, preserve temporal order, avoid diagnosis generation, and return validated JSON with evidence spans."
clinical_008,clinical_data_request,"Handle failed clinical extraction rows safely, log which fields were skipped, and require review for medication conflicts."
clinical_009,clinical_data_request,"Prepare a de-identified patient cohort summary but keep safety policy version, output schema, and audit receipt attached."
clinical_010,clinical_data_request,"Run the weekly clinical NLP pipeline, normalize terms, preserve negation, and block external send until approval."
ehr_001,ehr_build_request,"Can you add an alert for high-risk ED return visits and make sure it routes urgent patient messages safely?"
ehr_002,ehr_build_request,"Change the EHR alert so every abnormal lab route is reviewed, but do not fire for already-approved encounters."
ehr_003,ehr_build_request,"Update the AVS workflow to show medication reminders only after pharmacist approval and log the policy version."
ehr_004,ehr_build_request,"Fix the confusing patient-message queue so urgent messages route first, normal messages batch daily, and exceptions are audited."
ehr_005,ehr_build_request,"Add a DC summary check that preserves anticoagulant warnings and blocks send if required fields are missing."
ehr_006,ehr_build_request,"Review the ED follow-up workflow and make sure patient outreach is safe, logged, and not sent externally without approval."
ehr_007,ehr_build_request,"Normalize encounter types in the EHR export, preserve visit order, and return a schema the analytics model can validate."
ehr_008,ehr_build_request,"Handle failed AVS generation safely, keep evidence for skipped medication fields, and route unclear cases to human review."
ssis_001,ssis_runbook,"Run step 1, then truncate the staging table only after the row-count receipt is logged."
ssis_002,ssis_runbook,"Every morning, load the ETL batch, compare row counts before truncate, and rollback if the staging mismatch is unclear."
ssis_003,ssis_runbook,"Fix the SSIS package so failed credential refresh does not deploy to production and the rollback receipt is saved."
ssis_004,ssis_runbook,"Normalize the customer feed schema, then run the pipeline only after validation and approval logs are present."
ssis_005,ssis_runbook,"Run the billing ETL workflow, delete duplicate staging rows only after audit evidence confirms source parity."
ssis_006,ssis_runbook,"Handle failed nightly batch files safely, preserve original rows, and send an evidence receipt before rerun."
